Callsign, Origin, Destination
PBD854,UGTB,URRP
AZA824,LIRF,OLBA
WJA4,EGKK,CYYZ
AFL1881,UCFM,UUEE
DAL231,LFPG,KRDU
TAP117,LPPT,SSJC
RAM810D,GMMN,EDDF
DAH2004,DAAG,LEAL
ACA829,LFLL,CYHU
BAW7,EGLL,RJTK
MEA218,EDDF,OLBA
BAW185,EGLL,KLDJ
VJT525,OLBA,ULLI
ACA835,LSGG,CYHU
DAH1004,DAAG,LFPO
TSC123,EGKK,CYYZ
IBE6123,LEMD,KMIA
JAI234,EHAM,CYYZ
VJT617,UUWW,OMDB
SVR224,ULLI,USSS
MEA232,LIRF,OLBA
AAF734,DAAG,LFBO
IBE0042,LEMD,GOBD
SVR3596,OMDW,UUDD
DLH460,EDDM,KMIA
TSC111,LFPG,CYHU
RAM764Y,GMMT,LFPO
BAW13G,EGLL,KBOS
TSC293,EGCC,CYYZ
SVR2466,UGTB,UUBW
BAW143,EGLL,VIDP
WZZ2497,LHBP,OMDW
RAM818,GMMT,EGCC
PBD1104,URRH,UUWW
DLH636,EDDF,OETH
DAL209,EGPH,KJFK
QFA9,YPPH,EGLL
SVR299,UUDD,USSS
ACA861,EGLL,CYHZ
BAW11M,EGLL,KSFO
ACA881,LFPG,CYYZ
KAL935,RCTP,LKPR
JAI123,LFPG,VABB
ACA883,EKCH,CYYZ
WZZ1289,EPKT,OMDW
ABY956,UUDD,OMSJ
CFG062,EDDF,KLAS
SAS903,ESSA,KLDJ
SAS925,EKCH,KIAD
DAL163,EHAM,KSGS
IBE6845,LEMD,SAEZ
SAS935,EKCH,KSFO
ACA895,LIMC,CYYZ
NAX7081,ENGM,KHHR
DAH1037,LFLL,DAAG
BAW173A,EGLL,KJFK
BAW7W,EGLL,KIAD
QFA10,EGLL,YPPH
SBI055,UUDD,USSS
ANE19FW,GMMN,LEMD
SIA7369,EBBR,VOBL
BAW9L,EGLL,CYYZ
AZA604,LIMC,KJFK
IBE6251,LEMD,KJFK
ABY583,LKPR,OMSJ
DLH426,EDDF,KPHL
RAM724A,GMMN,LFST
DAL407,LSZH,KJFK
RAM822,GMMN,EDDM
MEA202,EGLL,OLBA
DAL501,LFPG,KIND
RAM936R,GMMN,LSZH
AFL234,UUEE,VIDP
FDB1KF,EPKK,OMDB
JAF251,EBBR,KMIA
DAL11,EGLL,KMSP
RAM984A,GMMN,LEMG
DAH2007,LEMD,DAAG
DLH418,EDDF,KIAD
AFL102,UUEE,KJFK
ACA889,EGLL,CYOW
DAL273,LPPT,KJFK
WZZ3255,LROP,OMDW
MEA225,OLBA,EKCH
AFR65EY,LFPG,GMME
RAM788,GMMN,LFPG
FDB7DR,UUWW,OMDB
AFR292,LFPG,RJBB
RAM720P,GMMN,LFLL
DAH1214,DAAG,LFPG
DAH1011,LFPO,DAAG
MSASS,UUWW,VIDP
BAW19V,EGLL,KDEN
DLH754,EDDF,VOBL
RAM940J,GMMN,LIRF
AFR006,LFPG,KJFK
DLH756,EDDF,VABB
