Callsign, Origin, Destination
ANA603,RJTT,
OBR,,YPJT
CXA8405,,
CXA8635,,
CSN3719,,
FRG1051,,0WI5
DKT1024,,KMSP
QLK451D,,YBBN
BXR1965,,KMHR
AMF939,,KPHX
CFHRL,KSTP,
UPS833,KBOI,
UPS147,WMKK,
ANA52,,RJTT
AIJ2424,,MMTJ
N1076K,KABQ,
SKW5354,,KSFO
CCA1731,,ZGSZ
FALCN26,,KBLV
JJA141,RKSS,
SKW5810,KIAH,
ZKIGI,NZCH,
CXA8341,,
KBO,,YBXH
AMF1991,,KPDX
SFJ61,,RJFF
BTQ455,,KDFW
SWA2633,,KFXE
EDV5074,,
SLQ735,,CYHM
WZZ944D,,LHBP
WEN3242,CYYC,
CHH7797,,ZGSZ
XUB,YPPH,
CSN8593,ZGSZ,
NKS1049,,02PR
N291MQ,ZGSZ,
N950SG,,KLGB
UPS9763,,KORD
SWA1569,,KBWI
BTK6506,,
AAL2864,,SC08
AAL441,,KPHX
SWA2748,KFLL,
UAL429,KIAH,
UTA426,,
R1220435,,VTBK
RLH5331,,ZUCK
SKW3815,,KATL
RLK076,,NZAA
LOG24RP,EGNX,
N2538P,,KCHD
CES5837,,
UTY7741,YPPH,
ANA503,,
N1132X,,KLVK
ANA8514,VHHH,
AIJ32,,KTUS
SWA1474,,
VSO,,YMMB
EPA6321,,
SWA3360,,KATL
CSN3875,,ZGSZ
AFL1335,,UUEE
SWA663,,KLAS
SKW5641,KDEN,
UTY803,,YPPH
ETH714,,ESSA
RXA2113,YPPH,
N809RQ,,KPHX
RUE,YBCS,
CXA8647,,
FRG1549,,KMKE
CES2337,,
CSH9537,,
SWA2360,,KMDW
BMJ51,,KMSP
BMJ53,,KMSP
N747FL,,KPRC
CCA404,WSSS,
PCM7681,,KONT
ANA654,,RJTT
KAL1215,RKSS,
RLK212,,NZAA
SKW5717,KORD,
AWI833A,KORD,
AMF1691,,KSAT
FDX985,,
NWK1619,,YPPH
SKW3843,,KATL
GAP9521,RPLL,
DHX220,OBBI,
AMF1909,,KPDX
UIA8955,,
BMJ61,,KMSP
ROU1677,,CYYZ
SUB1611,,KOMA
CSZ8712,,
N3787U,,KCMA
GIA306,,
CDC8871,,
EC225,,
PBD414,,UUWW
IBX36,RJOA,
ABL8807,RKSS,
NAVY562,,RJOI
NWK1607,,YPPH
SWA2365,KSTL,
ANA460,,RJTT
TAM4703,SBGR,
FZA6559,,
N920RC,,KABQ
BCS142,EDDP,
NKS296,KLAS,
BVN7282,,KSAT
ASQ4109,KIAH,
MTN8378,,06IA
PCM7731,,KSMF
DAL907,,KBOS
CES2220,,
PDT4739,KPHL,
ANA1635,,
SWA2251,,KDCA
ASA807,KSEA,
UIA8676,,RCNN
ZKFDN,NZCH,
SKW3566,KMSP,
NPT028A,EGNX,
N862SL,,KTOA
N898CD,,KSTS
LLM846,ULLI,
ETH706,,EDDF
CTV782,,
QLK353D,,YBBN
SOO917,,0WI5
CSZ9621,ZGSZ,
CES5871,,
N9435U,,KCMA
SWA2075,,KDAL
SWA4197,,07KY
SWA3782,,KATL
ANA386,,RJTT
N647DS,,KAPA
VOI417,,MMTJ
RN110,,KNSE
ASH6200,KIAH,
N150SB,,KDAL
CFS7801,,KPHX
CDC8651,,
PCM7655,,KSMF
VEJ,,YBBN
SWA1297,,KMDW
MTN7553,,KMSP
PJX,,YBSS
CSZ9911,ZGSZ,
ASA796,KSEA,
CSZ9971,,
GAJ879,,KOPF
ANA919,,
CSN3515,,
SKW5089,KORD,
KYOTE48,,KPHX
SNJ33,,
AZU9433,,SBKP
JZA584,CYYC,
JIA5266,KCLT,
BTK7011,WIHH,
RJA1612,,OMDB
VOZ369,YBBN,
UAL618,KIAH,
N421MA,,KPHX
GEC8431,,EDDF
BTK6590,,
LOF4640,KDEN,
ASA839,KSEA,
WBA,YPPH,
JAL2465,,
CSN6227,,ZUCK
JJP203,,RJBB
CXA8583,ZGSZ,
ETH3719,VHHH,
ANA836,,
ASQ4166,KORD,
WJA272,CYYZ,
ASQ3992,KIAH,
N305LG,KABQ,
AFL1315,,UUEE
QLK762D,YBBN,
ANA585,RJTT,
SKW4296,KMSP,
AAR8703,RKSS,
SWA1471,,KRSW
PPWSR,,SBGL
SFJ12,,RJTT
UPS301,,02XS
DAL2453,KATL,
DKH1712,,
HELIDOC,,ENKJ
JAL257,,RJOA
DAL1298,KLAX,
N4666B,,8AK6
EJA754,,KAPA
CHH7062,,
00000000,PANC,
FDX5154,,RKSI
CAL761,RCTP,
WEN4077,,CYYC
ANA533,RJTT,
N496KG,,KSDL
LKE9853,,
PCM7697,,KSMF
CSZ9139,ZGSZ,
CES2261,,ZUCK
AAL1507,,KDFW
WZZ964F,,LHBP
KING21,,
BMJ69,,KMSP
EDV5319,KLGA,
CSC8927,,
AAL1350,KRSW,
CTL3,,KOPF
UIA8912,,RCKH
AAL2257,,KDFW
SJO621,,RJOA
AMF1026,,67KY
AAL2757,,KLAX
SNJ14,,RJTT
TWB707,RKSS,
UTA578,,UUWW
N108AN,,KABQ
CAL501,RCTP,
QQD,,YPPH
BTK7581,WIHH,
SKW5733,,60CO
ZKMAE,,NZTG
CBJ5161,,
BTQ652,KABQ,
LBQ782,,KTYS
AIP1841,,60CO
CKK242,,
SKW3086,,KLAX
ANA372,,
MDA362,,RCSS
VTE3202,KOAK,
BTQ496,KDFW,
UTY2791,,YPPH
SKW5795,KDEN,
BTK6369,,
PDT4809,KPHL,
MRA666,,KDFW
HL8219,RKSS,
DHX170,OBBI,
QLK281D,YMML,
CFKPI,,CYTZ
JAL476,,RJTT
JJP580,RJFF,
HVN6417,RKSI,
DAL2252,KMSP,
EDV5345,KDTW,
CSZ8403,ZGSZ,
MRA677,,KSKF
MRA685,,KIAH
FDX1295,KBOI,
UAL1170,KLAX,
HSBTM1,VTBD,
CPZ6017,,KLAX
JAL873,,
PBD418,,UUWW
AAL1210,,KLGA
SNJ55,RJTT,
ASH5746,,KPHX
SKW5786,KDEN,
KAL1212,,RKSS
1057,,KSDF
JBU476,,KPVD
SKQ33,KBUY,
ZKIGI,,NZCH
JIA5599,KDCA,
NKS476,KPIT,
SWA528,KATL,
BTQ355,,KPDX
IBI,,YMMB
SKW352E,KORD,
N8115G,,KADS
295,,KPDX
UEA6661,,
N19328,,KWHP
ANA781,,
SKW3627,KMSP,
SKW3679,,KMSP
KII1814,,KPHX
ASH6052,KIAH,
CSZ9237,ZGSZ,
CTV714,,
AMF1989,,KSAT
VTE3304,KPHX,
ANA316,,RJTT
GJS4440,KORD,
AAR8914,,RKSS
AAR8927,RKSS,
N266RD,KABQ,
NWK2651,,YPPH
UIA8952,,
CSZ9921,ZGSZ,
CSN366,WMKK,
KAL1602,,RKSS
SVR099,UNNT,
TAM3684,SBGR,
CAL100,RCTP,
CTV682,,
SKW5219,,CO12
CBJ5227,,ZUCK
SKW5299,22CO,
UAL1728,KIAH,
NKS878,,KLBE
SWA1572,KBWI,
SDM6452,,ULLP
APJ125,RJBB,
QTR491,,OTHH
BTK6364,,
POL28,YSBK,
SWA2508,KPHL,
ASA897,KPDX,
SBI5262,,UNNT
ASH5801,,KPHX
MAS388,WMKK,
NZM751,NZCH,
LNI276,,
FDX3875,KOAK,
HVN311,,
JZA906,CYUL,
N203RC,,NC03
TPA4032,,KMIA
TWU,,YMMB
LOF4666,KDEN,
CCA4521,,
EEL,,YBAF
SWA2121,,
TAY,,YMMB
CSN3553,ZGSZ,
N588PS,,KABQ
AM332,,YMEN
ASA129,KSEA,
TAM4748,SBGR,
MPE1728,,CYYC
FD412,,YBBN
FDX1212,,
FDA5401,,RJDB
SBI2614,,
CTV8621,,WICC
N183E,,KFUL
