Callsign, Origin, Destination,Day
OHWAU,EETN,EFHK,2020-06-01 
AFL1769,UUDD,UUEE,2020-06-01 
AZA3ME,LIRF,LICJ,2020-06-01 
IAM3195,LIMJ,LIRA,2020-06-01 
AFL1193,UWKD,UUEE,2020-06-01 
BHL538,EGHI,EGSH,2020-06-01 
NJE344L,LSZR,LEPA,2020-06-01 
SAS4417,ENBO,ENGM,2020-06-01 
AZA1733,LIRF,LICJ,2020-06-01 
010000,LIML,LIPO,2020-06-01 
AFL1227,UWGG,UUEE,2020-06-01 
N940DK,BIKF,EGPF,2020-06-01 
SAS92R,ENZV,ENVA,2020-06-01 
AFL1006,UUEE,UMKK,2020-06-01 
ID526,LIML,LIPO,2020-06-01 
