Callsign, Origin, Destination
AFR75KK,LFBO,LFPG
WUK9593,EGGW,LBBG
LOT3904,EPKK,EPWA
RYR5012,LIRF,LIME
VTTRI,EDDL,EVRA
AFR766Q,LFML,LFPG
AFL014,UUEE,ULLI
LWG391,EHEH,EINN
CPA014,EDDF,LIMC
DCW123,VOMM,EGGW
LOT3958,EPPO,EPWA
WZZ93XG,LYBE,EDJA
RLU103,ULLI,UUBI
HBJAZ,LSGG,EBBR
LOT3982,EPZG,EPWA
AZA202,LIRF,EGLL
BOX413,KORD,EDDF
PVG6777,LEMD,SPJC
MEECNBZ,LEMH,LEPA
AFL011,ULLI,UUEE
EMM009,EDSB,EDDB
ANE8517,LEIB,LEPA
AFR762T,LFPG,LFBD
CMB131,EDFH,OBBI
BAW430,EGLL,EHAM
NJE491C,EDDF,EHAM
VLG21GU,LEMG,LEBL
AFR75AA,LFPG,LFBO
DLH04K,LEMD,EDDF
UTA369,UUWW,ULLI
DFPOL,EDDG,EDXW
AUI1235,UKBB,LIMC
AFL1286,UUEE,UWLL
SAS4154,ENBR,ENVA
SAT3001,LPPD,LPAZ
OAL161,LGIO,LGAV
DLH8V,LOWW,EDDF
WZZ51XS,EGGW,LHBP
LXJ92,EDDM,KORD
LOT3832,EPGD,EPWA
DLH5YY,EDDF,EDDV
N650XF,EGGW,KEWR
BTI244,EDDF,EVRA
KZR1372,UUDD,UAAA
EWG6998,LHBP,EGSH
NJE828K,LSZH,LIMJ
FRA93,EGNV,EGHH
AZA84A,LIRF,LFPG
DCOLT,EDQM,EDLW
VCG2BG,EIDW,ESSA
LGL3770,LPPR,ELLX
AFR184Z,LFPG,LSGG
DLH5EJ,ESSA,EDDF
AHO281S,LSGG,UUWW
SAS142,ESGG,ESSA
AFR10FG,LFPG,LPPT
EWG3XH,LOWW,EDDH
EAF9106,LIME,LBWN
RYR662Z,EGSS,EIDW
DFELE,EDDS,LFKJ
NPT023J,EGNX,EGJJ
BRU810,LYBE,UMMS
SAS85G,ENGM,ENZV
AFR120K,LIRF,LFPG
AMC4100,LMML,EGLL
N188B,EGSS,EGAA
CWY02G,EGGP,EGNS
BAW4DC,EGLL,LFPG
AFR6737,KORD,LFPG
INR611,LEVC,LEJR
BTI79E,EHAM,EETN
WZZ575,LFPG,LHBP
DLH2KV,ENGM,EDDF
ABR1626,LIMC,EGMC
DAL3341,EDDF,KORD
BTI6RZ,EHAM,EVRA
DLH25N,LEBL,EDDF
SHT18LA,EGLL,EGPD
DFEND,EDXW,EDLP
RYR787E,EBBR,EIDW
DLH8A,EHAM,EDDF
DLH2J,LFPG,EDDF
ABR1539,LIMC,EDDV
GTI8091,EVRA,VHHH
SHT8K,EGLL,EGPH
AFR365V,LFPG,DAAG
DLH7HP,EKBI,EDDF
DFL03,ESSB,ESNZ
MEECNBZ,LEPA,LEMH
HBJSK,LSZH,EDJA
SIO412,LIML,EGSS
NJE191F,EDDW,EDDS
DLH9U,EGLL,EDDF
DLH8XC,EDDM,EDDF
AAR587,KJFK,EBBR
DLH8KV,LIMC,EDDF
DLH3CF,EKCH,EDDF
LXA24Y,LSZH,EHAM
DLH8Y,EBBR,EDDF
DLH2XV,EBBR,EDDM
AAB713,LSGG,EBBR
HBPJG,LSZH,LSZA
AFR066,LFPG,KHHR
EWG1AR,EDDL,EGCC
LGL9562,EDDR,ELLX
AFL1643,URWA,UUEE
AFR194,LFPG,VOBL
DLH259,LIMC,EDDF
SAT3000,LPAZ,LPPD
DLH7C,LSZH,EDDF
EWG4NB,EDDL,LOWS
AOJ82R,LSGG,LOWW
DLH1P,LKPR,EDDF
AHO426N,LEBL,EDDL
DLH8UT,EDDH,EDDF
ADB306F,EDDP,UKKT
LGL3751,ELLX,LPPT
SBI5005,UNNT,ULLI
AEA1707,LEIB,LEPA
EWG4C,EDDH,EGLL
CAL074,EHAM,RCTP
JAR31,LOWS,ESGG
DLH07Y,EDDM,LOWW
DFELD,EDXW,EDVK
JAR24,LOWS,ELLX
DLH5EL,EDDL,EDDM
RYR36MT,EGSS,LPPR
TAP9561,LPPT,SBGR
ANE8488,LEPA,LEMH
AFR292,LFPG,RJBB
AFL013,ULLI,UUEE
RRR2802,EGVN,EFHK
NAX530,ENGM,ENZV
AZA571,LSZH,LIRF
AEE5ZH,LSZH,LGAV
AZA1612,LIBD,LIRF
CAL062,EDDF,RCTP
AZA1594,LIEE,LIRF
DLH1YX,EDDV,EDDF
GFA002,EGLL,OBBI
FHDPV,LFMV,LFQQ
DLH1JT,LHBP,EDDF
RYR5QR,LPPT,EIDW
SBI2510,UNNT,UUDD
BAW813,EKCH,EGLL
AEE831,EDDF,LGAV
AZA1784,LICJ,LIRF
N114QS,LSGG,KIAD
SAH59P,EGCC,LPFR
ABW738,VHHH,UUDD
SPMXI,EPWA,EPGD
