Callsign, Origin, Destination
AFL233,VIDP,UUEE
TAM8070,SBGR,EDDF
ACA882,CYYZ,EKCH
AZA61CM,KJFK,LIRF
BAW98,CYYZ,EGLL
BAW10C,KJFK,EGKK
TAM8064,SBGR,LEMD
BAW118,VOBL,EGLL
BAW80G,KBOS,EGLL
N777ZH,UAAA,UUEE
NAX98W,KLAX,LFPG
BAW34N,KMIA,EGLL
ISS956,VIDP,LIMC
AIC131,VABB,EGLL
KTK773,UUWW,OMDB
BAW36,VOMM,EGLL
DLH415,KIAD,EDDM
KAL9575,VIDP,LOWW
AEA098,KMIA,LEMD
TAM8062,SBGR,LIMC
ACA836,CYYZ,LEMD
ACA860,CYHZ,EGLL
AVA026,KLAX,LEMD
ACA876,CYYZ,EDDF
AFR557,RCTP,LFPG
DLH4C,KORD,EDDM
N203FJ,BIKF,KIAH
BAW72A,KSAN,EGLL
DLH405,KJFK,EDDF
ANA217,RJTT,EDDM
BAW196E,KIAH,EGLL
NAX72G,KJFK,LFPG
DLH715,RJTT,EDDM
ABY582,OMSJ,LKPR
NAX8MU,KFLL,LFPG
LOT4,KORD,EPWA
RJA111,OTHH,EGLL
AFL213,VHHH,UUEE
NAX4RW,KJFK,LEMD
AFR009,KJFK,LFPG
CPA239,VHHH,EGLL
DAL3,KJFK,EGLL
BAW92W,KDFW,EGLL
TAM8108,SBGR,LFPG
AFL004,UUEE,ULLP
BAW38P,KPHX,EGLL
LOT46,CYYZ,EPWA
TAY051,EBLG,OMDB
ACA848,CYYZ,EGLL
AFL006,UUEE,ULLP
SAS944,KORD,EKCH
BAW18A,KJFK,EGLL
NAX4PF,KEWR,LIRF
AZA803,DAAG,LIRF
SDM6022,UUWW,ULLP
TAP208,KJFK,LPPT
SOO098,EDDP,VHHH
SVR891,UUDD,OMDB
FDB9QM,OMDB,EPKK
RSY9503,UUWW,ULLP
ABD705,EDFH,KGYH
TAP262,CYYZ,LPPT
JAI116,VABB,EGLL
TSC336,CYYZ,LPPT
EDW65V,VCBI,LSZH
TGZ930,UGTB,UUWW
BOX514,EDDP,OMDB
AIC125,VABB,EDDF
VLG7396,LEAL,DAAG
LOT27,KJFK,EPWA
VLG7476,LEBL,DAAG
AFL1940,UUEE,UAAA
LOT16,KEWR,EPWA
AFR279,RJTT,LFPG
ETH510,SBGR,EIDW
AFR1355,DAAG,LFPG
BAW274,KLAS,EGLL
NAX7JA,KJFK,EHAM
JAF11M,EBBR,GCGM
ABY955,OMSJ,UUDD
AZO203,URRP,ULLP
SDM6073,UUEE,ULLP
BAW6B,KSFO,EGLL
ACA858,CYYZ,EGLL
TAP084,SBGR,LPPT
SDM6266,VCBI,UUEE
LXA12M,EDDB,OMDB
TVF37CU,LFPO,OLBA
ETH500,EIDW,KIAD
FDB4BY,OMDB,LZIB
DAL272,KJFK,LPPT
MEA213,OLBA,LSGG
WZZ2465,LHBP,ULLP
BTI442,EVRA,ULLP
MEA201,OLBA,EGLL
AIC136,LEMD,VIDP
OMA181,VIDP,UUDD
JAF2051,EBBR,GBYD
PBD203,UUWW,ULLP
BAW268,KLAX,EGLL
SDM6012,UUWW,ULLP
BOS10,KEWR,LFPO
BOX491,KJFK,EDDF
BAW8C,CYVR,EGLL
AFL010,UUEE,ULLP
FDB4UR,OMDB,UUWW
SVR2455,UUBW,UCFM
MEA211,OLBA,LFPG
ADB382F,UGTB,EDDP
AMX025,MMMX,EHAM
SBI015,UUDD,ULLP
AFL1880,UUEE,UCFM
RAM850W,GOBD,EHAM
DLH459,KSFO,EDDM
BOX530,EDDP,WSAP
AMX021,MMMX,LEMD
CND1111,EHAM,GBYD
MEA251,OLBA,LGAV
IBE6406,MMMX,LEMD
